date,hour,Demand
01-01-2024,0,355.341456
01-01-2024,1,326.42736
01-01-2024,2,302.551524
01-01-2024,3,279.79488
01-01-2024,4,257.784348
01-01-2024,5,236.51994
01-01-2024,6,217.120824
01-01-2024,7,199.960068
01-01-2024,8,186.156852
01-01-2024,9,176.4573
01-01-2024,10,169.74222
01-01-2024,11,164.892444
01-01-2024,12,161.534904
01-01-2024,13,158.177376
01-01-2024,14,154.819836
01-01-2024,15,151.835352
01-01-2024,16,149.223936
01-01-2024,17,146.61252
01-01-2024,18,144.747216
01-01-2024,19,143.628036
01-01-2024,20,142.881912
01-01-2024,21,142.881912
01-01-2024,22,143.25498
01-01-2024,23,144.37416
02-01-2024,0,145.866396
02-01-2024,1,148.104756
02-01-2024,2,150.716172
02-01-2024,3,154.073712
02-01-2024,4,158.177376
02-01-2024,5,164.146332
02-01-2024,6,173.845884
02-01-2024,7,190.633572
02-01-2024,8,217.49388
02-01-2024,9,255.919044
02-01-2024,10,303.297648
02-01-2024,11,355.15296
02-01-2024,12,406.635216
02-01-2024,13,454.759944
02-01-2024,14,498.780996
02-01-2024,15,538.698408
02-01-2024,16,574.512144
02-01-2024,17,606.595296
02-01-2024,18,636.06702
02-01-2024,19,664.046508
02-01-2024,20,692.399052
02-01-2024,21,721.124664
02-01-2024,22,748.358028
02-01-2024,23,770.741616
03-01-2024,0,785.664012
03-01-2024,1,790.140732
03-01-2024,2,784.171776
03-01-2024,3,768.1302
03-01-2024,4,742.016016
03-01-2024,5,707.321448
03-01-2024,6,666.657924
03-01-2024,7,624.129108
03-01-2024,8,583.83864
03-01-2024,9,548.39796
03-01-2024,10,518.180112
03-01-2024,11,492.81204
03-01-2024,12,471.920688
03-01-2024,13,455.133
03-01-2024,14,440.58366
03-01-2024,15,428.272692
03-01-2024,16,415.961712
03-01-2024,17,404.0238
03-01-2024,18,395.07036
03-01-2024,19,392.458944
03-01-2024,20,400.66626
03-01-2024,21,421.184556
03-01-2024,22,451.029336
03-01-2024,23,484.977792
04-01-2024,0,518.553168
04-01-2024,1,547.651836
04-01-2024,2,572.646852
04-01-2024,3,595.776552
04-01-2024,4,617.787084
04-01-2024,5,639.797616
04-01-2024,6,658.077552
04-01-2024,7,668.15016
04-01-2024,8,664.419564
04-01-2024,9,645.02046
04-01-2024,10,614.429544
04-01-2024,11,580.4811
04-01-2024,12,549.51714
04-01-2024,13,527.506608
04-01-2024,14,511.8381
04-01-2024,15,498.780996
04-01-2024,16,484.231668
04-01-2024,17,465.578676
04-01-2024,18,442.448964
04-01-2024,19,416.33478
04-01-2024,20,387.982224
04-01-2024,21,358.883556
04-01-2024,22,329.7849
04-01-2024,23,301.059288
05-01-2024,0,280.796928
05-01-2024,1,253.158756
05-01-2024,2,227.693088
05-01-2024,3,205.597872
05-01-2024,4,186.873108
05-01-2024,5,173.01678
05-01-2024,6,163.279908
05-01-2024,7,156.913488
05-01-2024,8,152.794044
05-01-2024,9,150.172572
05-01-2024,10,148.300104
05-01-2024,11,147.551112
05-01-2024,12,146.427624
05-01-2024,13,145.304136
05-01-2024,14,144.555144
05-01-2024,15,143.431668
05-01-2024,16,143.431668
05-01-2024,17,143.806164
05-01-2024,18,145.304136
05-01-2024,19,147.176616
05-01-2024,20,149.798076
05-01-2024,21,153.16854
05-01-2024,22,161.407428
05-01-2024,23,178.634208
06-01-2024,0,208.968324
